NAME;LOCATION;STATUS;LATITUDE;NS;LONGITUDE;EW;ELEV;TYPE
Unnamed;Atlantic-C;Uncertain;3.5;S;24.50;W;-5300;Submarine volcano
Ascension;Atlantic-C;Holocene;7.95;S;14.37;W;858;Stratovolcano
Trindade;Atlantic-C;Holocene;20.514;S;29.33;W;600;Stratovolcano
Tristan da Cunha;Atlantic-S;Historical;37.092;S;12.28;W;2060;Shield volcano
Bouvet;Atlantic-S;Magnetism;54.42;S;3.35;E;780;Shield volcano
Thompson Island;Atlantic-S;Uncertain;53.93;S;5.50;E;;Submarine volcano
Young Island;Antarctica;Fumarolic;66.42;S;162.47;E;1340;Stratovolcano
Sturge Island;Antarctica;Uncertain;67.4;S;164.83;E;1167;Stratovolcano
Pleiades, The;Antarctica;Potassium-Argon;72.67;S;165.50;E;3040;Stratovolcano
Unnamed;Antarctica;Holocene;73.45;S;164.58;E;2987;Scoria cone
Melbourne;Antarctica;Tephrochronology;74.35;S;164.70;E;2732;Stratovolcano
Unnamed;Antarctica;Holocene;76.83;S;163.00;E;-500;Submarine volcano
Buckle Island;Antarctica;Historical;66.78;S;163.25;E;1239;Stratovolcano
Royal Society Range;Antarctica;Holocene;78.25;S;163.33;E;3000;Cinder cone
Berlin;Antarctica;Ar/Ar;76.05;S;136.00;W;3478;Shield volcano
Andrus;Antarctica;Holocene;75.8;S;132.33;W;2978;Shield volcano
Waesche;Antarctica;Holocene;77.17;S;126.88;W;3292;Shield volcano
Siple;Antarctica;Holocene;73.43;S;126.67;W;3110;Shield volcano
Toney Mountain;Antarctica;Holocene;75.8;S;115.83;W;3595;Shield volcano
Takahe;Antarctica;Ice Core;76.28;S;112.08;W;3460;Shield volcano
Hudson Mountains;Antarctica;Uncertain;74.33;S;99.42;W;749;Stratovolcano
Peter I Island;Antarctica;Holocene;68.85;S;90.58;W;1640;Shield volcano
Erebus;Antarctica;Historical;77.53;S;167.17;E;3794;Stratovolcano
Penguin Island;Antarctica;Lichenometry;62.1;S;57.93;W;180;Stratovolcano
Deception Island;Antarctica;Historical;62.97;S;60.65;W;576;Caldera
Paulet;Antarctica;Holocene;63.58;S;55.77;W;353;Cinder cone
Bridgeman Island;Antarctica;Uncertain;62.05;S;56.75;W;240;Stratovolcano
Seal Nunataks Group;Antarctica;Uncertain;65.03;S;60.05;W;368;Pyroclastic cone
Thule Islands;Antarctica;Historical;59.45;S;27.37;W;1075;Stratovolcano
Montagu Island;Antarctica;Historical;58.42;S;26.33;W;1370;Shield volcano
Bristol Island;Antarctica;Historical;59.03;S;26.58;W;1100;Stratovolcano
Michael;Antarctica;Historical;57.78;S;26.45;W;990;Stratovolcano
Candlemas Island;Antarctica;Historical;57.08;S;26.67;W;550;Stratovolcano
Hodson;Antarctica;Holocene;56.7;S;27.15;W;1005;Stratovolcano
Leskov Island;Antarctica;Fumarolic;56.67;S;28.13;W;190;Stratovolcano
Zavodovski;Antarctica;Historical;56.3;S;27.57;W;551;Stratovolcano
Protector Shoal;Antarctica;Historical;55.92;S;28.08;W;-27;Submarine volcano
